title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
Saturday Night Live,1975,TV-14,89,['US'],47.0,8.0,47910.0,54.345,"['comedy', 'music']",7.605
M*A*S*H,1972,TV-PG,26,['US'],11.0,8.4,55882.0,27.308,"['comedy', 'war']",8.3
I Love Lucy,1951,TV-G,30,['US'],9.0,8.5,25944.0,17.088,"['comedy', 'family']",8.395
Taxi,1978,TV-PG,25,['US'],5.0,7.7,13379.0,14.346,"['comedy', 'drama']",7.635
The Mary Tyler Moore Show,1970,TV-PG,28,['US'],7.0,8.2,8692.0,9.29,['comedy'],7.975
The Brady Bunch,1969,TV-G,25,['US'],5.0,6.7,14080.0,15.042,"['comedy', 'family']",7.0
The Bob Newhart Show,1972,TV-PG,27,['US'],6.0,8.1,5793.0,14.2,['comedy'],8.015
Lost in Space,1965,TV-PG,50,['US'],3.0,5.7,8.0,30.079,"['comedy', 'scifi']",6.545
The Odd Couple,1970,,27,['US'],5.0,7.9,6231.0,10.61,['comedy'],8.094999999999999
Name That Tune,1952,,43,['US'],1.0,6.8,48.0,0.6,"['family', 'music']",6.8
The Lucy Show,1962,,30,['US'],6.0,7.2,2797.0,8.858,['comedy'],7.475
Law & Order,1990,TV-14,54,['US'],21.0,7.8,37287.0,108.194,"['crime', 'drama']",7.819999999999999
The Simpsons,1989,TV-14,27,['US'],34.0,8.7,394764.0,516.381,"['animation', 'comedy']",8.405000000000001
Cheers,1982,TV-PG,30,['US'],11.0,7.9,53464.0,35.256,"['comedy', 'drama']",7.869999999999999
The Golden Girls,1985,TV-PG,30,['US'],7.0,8.1,40317.0,28.454,"['comedy', 'drama']",8.015
Dragon Ball,1986,TV-14,24,['JP'],10.0,8.6,55153.0,16.956,"['scifi', 'thriller']",8.489999999999998
The Hitchhiker's Guide to the Galaxy,1981,TV-PG,32,['GB'],1.0,8.0,10934.0,6.655,"['comedy', 'scifi']",8.1
Married... with Children,1987,TV-PG,23,['US'],11.0,5.5,56.0,44.537,"['comedy', 'drama']",6.67
The Wonder Years,1988,,25,['US'],6.0,8.4,37397.0,52.372,"['comedy', 'drama']",8.48
Mr. Bean,1990,TV-PG,21,['GB'],3.0,8.6,114774.0,31.763,"['comedy', 'family']",8.355
"Beverly Hills, 90210",1990,TV-14,47,['US'],10.0,6.4,33953.0,48.915,"['drama', 'romance']",7.075
Wings,1990,,22,['US'],8.0,7.3,12614.0,14.293,"['comedy', 'drama']",7.255
Blackadder,1983,TV-PG,30,['GB'],4.0,8.0,37902.0,21.242,"['comedy', 'european']",8.055
ThunderCats,1985,TV-Y7,23,['US'],4.0,7.9,17592.0,28.149,"['action', 'scifi']",8.14
America's Funniest Home Videos,1989,TV-PG,49,['US'],32.0,6.2,5356.0,18.117,"['family', 'reality']",6.75
Unsolved Mysteries,1987,TV-PG,53,['US'],16.0,8.2,5764.0,7.323,"['drama', 'thriller']",8.11
Baywatch,1989,TV-PG,46,['US'],11.0,5.3,27179.0,59.02,"['action', 'drama']",5.715
Designing Women,1986,TV-PG,25,['US'],8.0,7.2,5794.0,10.263,['comedy'],7.205
The Joy of Painting,1983,,25,['US'],31.0,9.3,5316.0,15.984,"['documentation', 'family']",9.065
Whose Line Is It Anyway?,1988,TV-MA,23,['GB'],10.0,8.2,5626.0,6.626,['comedy'],8.02
St. Elsewhere,1982,TV-14,52,['US'],6.0,8.0,4473.0,15.791,"['comedy', 'drama']",6.885
Hill Street Blues,1981,TV-14,49,['US'],7.0,8.2,8822.0,28.323,"['crime', 'drama']",8.02
Ranma ½,1989,TV-14,24,['JP'],7.0,8.2,1508.0,65.102,"['action', 'scifi']",8.515
Tiny Toon Adventures,1990,TV-Y7,22,['US'],3.0,7.5,13104.0,11.25,"['family', 'romance']",7.76
"Doogie Howser, M.D.",1989,,23,['US'],4.0,6.5,8779.0,9.35,"['comedy', 'drama']",6.81
