title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Je suis Karl,MOVIE,2021,R,126,drama,"['CZ', 'DE']",,1077.0,12.981,5.675000000000001
Bad Luck Banging or Loony Porn,MOVIE,2021,,106,drama,"['CH', 'CZ', 'GB', 'HR', 'LU', 'RO']",,6465.0,27.554,6.725
Zone 414,MOVIE,2021,R,98,scifi,['GB'],,4146.0,121.562,5.380000000000001
Takers,MOVIE,2010,PG-13,107,action,['US'],,62464.0,15.872,6.4026
Wave of Cinema: Surat Dari Timur,MOVIE,2020,,57,music,['ID'],,,0.66,
Squared Love,MOVIE,2021,,102,comedy,['PL'],,3158.0,14.92,5.795
Alibaba Aur 40 Chor,MOVIE,1979,,146,drama,"['IN', 'SU']",,565.0,2.582,6.66
New Gods: Nezha Reborn,MOVIE,2021,,116,animation,['CN'],,3150.0,3.078,7.59
Namaste Wahala,MOVIE,2020,,106,comedy,['NG'],,1557.0,2.696,6.515000000000001
The Last Forest,MOVIE,2021,,74,drama,['BR'],,425.0,2.176,7.3
Night Raiders,MOVIE,2021,,97,scifi,"['CA', 'NZ']",,683.0,7.27,5.575
Black Swan,MOVIE,2010,R,108,thriller,['US'],,745933.0,26.584,7.92
Radhe Shyam,MOVIE,2022,,138,drama,['IN'],,28633.0,5.537,5.625
Ride or Die,MOVIE,2021,R,142,thriller,['JP'],,1900.0,79.299,6.225
My Amnesia Girl,MOVIE,2010,,110,comedy,['PH'],,432.0,2.228,6.73
Roohi,MOVIE,2021,,134,comedy,['IN'],,10025.0,3.119,4.855
Beauty,MOVIE,2022,R,95,drama,['US'],,492.0,87.939,5.105
Biggie: I Got a Story to Tell,MOVIE,2021,R,97,documentation,['US'],,5028.0,8.292,7.140000000000001
Secret Magic Control Agency,MOVIE,2021,,103,comedy,"['RU', 'US']",,4086.0,47.669,6.84
Man in Love,MOVIE,2021,,115,romance,['TW'],,1744.0,3.611,7.235
Trust,MOVIE,2021,,94,thriller,['US'],,1705.0,10.141,6.21
Biking Borders - eine etwas andere Reise,MOVIE,2021,,89,documentation,['DE'],,933.0,1.129,7.635
Nightbooks,MOVIE,2021,,103,family,"['CA', 'US']",,8573.0,80.549,6.1850000000000005
Fate: The Winx Saga - The Afterparty,MOVIE,2021,PG-13,50,fantasy,"['GB', 'IT']",,72.0,6.557,7.605
The Witcher: Nightmare of the Wolf,MOVIE,2021,,83,action,"['KR', 'PL', 'US']",,42484.0,16.901,7.565
Nate Bargatze: The Greatest Average American,MOVIE,2021,,60,comedy,['US'],,1360.0,1.881,7.345
Blood Moon,MOVIE,2021,R,82,horror,['US'],,,27.519,6.49
Operation Varsity Blues: The College Admissions Scandal,MOVIE,2021,R,100,drama,['US'],,8190.0,8.255,7.1
Get the Goat,MOVIE,2021,,105,comedy,['BR'],,1784.0,16.027,6.605
After We Fell,MOVIE,2021,R,99,romance,"['FR', 'US']",,13221.0,341.558,6.04
A Castle for Christmas,MOVIE,2021,,98,romance,"['GB', 'US']",,11894.0,15.972,5.859999999999999
Time to Dance,MOVIE,2021,,2,romance,['IN'],,963.0,1.043,3.4
Who's the Boss,MOVIE,2020,,105,comedy,[],,39.0,2.236,5.15
Strain,MOVIE,2020,,106,drama,[],,25.0,,5.6
Kingdom: Ashin of the North,MOVIE,2021,,92,fantasy,['KR'],,4890.0,62.804,7.45655
Sanitation Day,MOVIE,2020,,104,thriller,['NG'],,18.0,0.994,3.3
Arlo the Alligator Boy,MOVIE,2021,,90,animation,['US'],,1105.0,17.89,6.805000000000001
Even the Rain,MOVIE,2010,,104,drama,"['ES', 'FR', 'MX']",,13533.0,8.526,7.305000000000001
Meskina,MOVIE,2021,,98,comedy,['NL'],,913.0,4.612,6.09
30 March,MOVIE,2021,,99,crime,[],,153.0,,4.0
Cop Out,MOVIE,2010,R,107,crime,['US'],,88026.0,13.63,5.77
1000 Miles from Christmas,MOVIE,2021,,102,comedy,['ES'],,1502.0,16.617,6.1850000000000005
Death at a Funeral,MOVIE,2010,R,92,comedy,['US'],,49901.0,15.989,5.96
Nneka the Pretty Serpent,MOVIE,2020,,140,horror,['NG'],,126.0,2.577,4.0600000000000005
Fine Wine,MOVIE,2021,,100,romance,['NG'],,45.0,1.466,6.8
Against the Ice,MOVIE,2022,,102,drama,"['DK', 'IS']",,20521.0,60.566,6.855
RattleSnake: The Ahanna Story,MOVIE,2020,,135,drama,[],,110.0,,4.7
Well Done Abba,MOVIE,2010,,144,comedy,['IN'],,1902.0,1.798,6.484999999999999
African America,MOVIE,2021,,96,drama,['ZA'],,68.0,1.755,5.2
Raajneeti,MOVIE,2010,PG,167,drama,['IN'],,17697.0,3.761,6.885
Romantik Komedi,MOVIE,2010,G,95,comedy,['TR'],,5111.0,4.254,5.265000000000001
Baggio: The Divine Ponytail,MOVIE,2021,,91,sport,['IT'],,4427.0,11.747,6.475
Kurt Vonnegut: Unstuck in Time,MOVIE,2021,,127,documentation,['US'],,524.0,5.453,7.6
The United States vs. Billie Holiday Special: Lee Daniels and Cast Interviewed by Oprah Winfrey,MOVIE,2021,,45,drama,['US'],,,1.4,9.1
Two Distant Strangers,MOVIE,2021,R,32,drama,['US'],,,8.319,7.66
Moxie,MOVIE,2021,PG-13,111,music,['US'],,24720.0,20.59,7.19395
A Perfect Fit,MOVIE,2021,,112,comedy,['ID'],,585.0,23.724,6.4350000000000005
Live Is Life,MOVIE,2022,,110,comedy,['ES'],,70.0,27.199,7.0600000000000005
Seaspiracy,MOVIE,2021,,89,documentation,['US'],,30307.0,7.09,8.105
Ginny & Georgia - The Afterparty,MOVIE,2021,R,35,,"['CA', 'US']",,,3.715,8.11
The Fighter,MOVIE,2010,R,115,drama,['US'],,,17.007,7.66
The Colony,MOVIE,2021,R,104,scifi,"['CH', 'DE']",,8495.0,23.747,5.67
Swan Song,MOVIE,2021,,105,drama,['US'],,1970.0,16.019,7.0600000000000005
Connected,MOVIE,2021,,42,,[],,,5.197,7.57
Wild Dog,MOVIE,2021,,145,thriller,['IN'],,2283.0,3.231,6.205
F3: Fun and Frustration,MOVIE,2022,,148,comedy,['IN'],,1199.0,11.729,5.95
Thunder Force,MOVIE,2021,PG-13,107,scifi,['US'],,41508.0,47.631,5.265000000000001
Dearest Boy,MOVIE,2021,,91,comedy,['SA'],,276.0,1.55,6.2
Deadly Illusions,MOVIE,2021,R,114,thriller,['US'],,,18.367,5.5171
Spiderhead,MOVIE,2022,R,106,scifi,['US'],,43239.0,996.869,5.8100000000000005
A Stand Worthy of Men,MOVIE,2021,,120,drama,[],,2174.0,,7.2
La Vocera,MOVIE,2020,,82,documentation,['MX'],,55.0,1.679,7.025
Night Teeth,MOVIE,2021,,107,crime,"['GB', 'US']",,17526.0,68.073,6.225
