title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm
Saturday Night Live,SHOW,1975,TV-14,89,"['comedy', 'music']",['US'],47,8.0,47910,54.345,7.21,"['comedy', 'music']",2.0,1.0,7.605,0.79,0.8737503628053293,0.5545224005796812,0.40979224908702117
M*A*S*H,SHOW,1972,TV-PG,26,"['comedy', 'drama', 'war']",['US'],11,8.4,55882,27.308,8.2,"['comedy', 'war']",3.0,1.0,8.3,0.20000000000000107,0.8254841179186962,0.5545224005796812,0.6121902528670877
I Love Lucy,SHOW,1951,TV-G,30,"['comedy', 'family']",['US'],9,8.5,25944,17.088,8.29,"['comedy', 'family']",2.0,1.0,8.395,0.21000000000000085,0.8248943772317469,0.5545224005796812,0.6759702665976929
Taxi,SHOW,1978,TV-PG,25,"['comedy', 'drama']",['US'],5,7.7,13379,14.346,7.57,"['comedy', 'drama']",2.0,1.0,7.635,0.1299999999999999,0.676586758987894,0.5545224005796812,0.8229586856356179
The Mary Tyler Moore Show,SHOW,1970,TV-PG,28,['comedy'],['US'],7,8.2,8692,9.29,7.75,['comedy'],1.0,1.0,7.975,0.4499999999999993,0.7743576575786824,0.5545224005796812,0.3016412622072245
The Brady Bunch,SHOW,1969,TV-G,25,"['comedy', 'family']",['US'],5,6.7,14080,15.042,7.3,"['comedy', 'family']",2.0,1.0,7.0,-0.5999999999999996,0.8248943772317469,0.5545224005796812,0.675970264780844
The Bob Newhart Show,SHOW,1972,TV-PG,27,['comedy'],['US'],6,8.1,5793,14.2,7.93,['comedy'],1.0,1.0,8.015,0.16999999999999993,0.7743576575786824,0.5545224005796812,0.4533907471103173
Lost in Space,SHOW,1965,TV-PG,50,"['comedy', 'family', 'fantasy', 'scifi']",['US'],3,5.7,8,30.079,7.39,"['comedy', 'scifi']",4.0,1.0,6.545,-1.6899999999999995,0.8137823152557799,0.5545224005796812,0.9999999992682829
The Odd Couple,SHOW,1970,,27,['comedy'],['US'],5,7.9,6231,10.61,8.29,['comedy'],1.0,1.0,8.094999999999999,-0.3899999999999988,0.7743576575786824,0.5545224005796812,0.5541555508987839
The Lorax,MOVIE,1972,PG,25,"['animation', 'comedy', 'drama', 'family', 'fantasy']",['US'],,7.9,2932,8.834,7.4799999999999995,"['animation', 'comedy']",5.0,1.0,7.6899999999999995,0.4200000000000008,0.7524233093149008,0.5545224005796812,0.7460319338331749
Name That Tune,SHOW,1952,,43,"['family', 'music']",['US'],1,6.8,48,0.6,,"['family', 'music']",2.0,1.0,6.8,,0.9309107933011401,0.5545224005796812,0.4533907445045445
The Lucy Show,SHOW,1962,,30,['comedy'],['US'],6,7.2,2797,8.858,7.75,['comedy'],1.0,1.0,7.475,-0.5499999999999998,0.7743576575786824,0.5545224005796812,0.6759702663253085
A Boy Named Charlie Brown,MOVIE,1969,G,86,"['animation', 'comedy', 'drama', 'family']",['US'],,7.3,5001,8.118,7.21,"['animation', 'comedy']",4.0,1.0,7.255,0.08999999999999986,0.7501723544504556,0.5545224005796812,0.33425295032293173
"Snoopy, Come Home",MOVIE,1972,G,81,"['animation', 'comedy', 'drama', 'family', 'music']",['US'],,7.4,4665,6.63,7.21,"['animation', 'drama']",5.0,1.0,7.305,0.1900000000000004,0.7845737798907217,0.5545224005796812,0.4097922506483589
The Cat in the Hat,MOVIE,1971,,25,"['animation', 'comedy', 'family', 'fantasy']",['US'],,7.3,1921,2.979,7.03,"['animation', 'family']",4.0,1.0,7.165,0.2699999999999996,0.8102171589751705,0.5545224005796812,0.9999999997767505
