title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm,description_ari,description_word_count,description_character_count,title_ari,title_word_count,title_character_count,description_sentiment,title_sentiment,top_one_genre
Saturday Night Live,SHOW,"A late-night live television sketch comedy and variety show created by Lorne Michaels. The show's comedy sketches, which parody contemporary culture and politics, are performed by a large and varying cast of repertory and newer cast members. Each episode is hosted by a celebrity guest, who usually delivers an opening monologue and performs in sketches with the cast, and features performances by a musical guest.",1975,TV-14,89,"['comedy', 'music']",['US'],47,8.0,47910,54.345,7.21,"['comedy', 'music']",2.0,1.0,7.605,0.79,0.8737503628053293,0.5545224005796812,0.40979224946192394,14.7,73,414,6.8,3,19,0.14498543553054333,0.09570367820560932,comedy
M*A*S*H,SHOW,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.",1972,TV-PG,26,"['comedy', 'drama', 'war']",['US'],11,8.4,55882,27.308,8.2,"['comedy', 'war']",3.0,1.0,8.3,0.20000000000000107,0.8254841179186962,0.5545224005796812,0.6121902515832746,11.4,61,322,12.0,7,7,-0.34044378250837326,-0.1324022114276886,comedy
I Love Lucy,SHOW,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",1951,TV-G,30,"['comedy', 'family']",['US'],9,8.5,25944,17.088,8.29,"['comedy', 'family']",2.0,1.0,8.395,0.21000000000000085,0.8248943772317469,0.5545224005796812,0.6759702663381754,14.8,57,310,-5.9,3,11,0.5483339801430702,0.9695249004289508,comedy
Taxi,SHOW,"Louie De Palma is a cantankerous, acerbic taxi dispatcher in New York City. He tries to maintain order over a collection of varied and strange characters who drive for him. As he bullies and insults them from the safety of his “cage,” they form a special bond among themselves, becoming friends and supporting each other through the inevitable trials and tribulations of life.",1978,TV-PG,25,"['comedy', 'drama']",['US'],5,7.7,13379,14.346,7.57,"['comedy', 'drama']",2.0,1.0,7.635,0.1299999999999999,0.676586758987894,0.5545224005796812,0.822958685283619,12.5,71,376,-2.2,1,4,0.10459475219249725,-0.08078630268573761,comedy
The Mary Tyler Moore Show,SHOW,"30-year-old single Mary Richards moves to Minneapolis to start a new life after a romantic break-up. There she reacquaints with Phyllis who rents her a room, and meets her upstairs neighbor and new best friend Rhoda. Mary unexpectedly lands a job as associate producer at the TV station WJM, where she works alongside her bristly boss, Lou; the comical newswriter, Murray; and the newscast's often-incompetent anchor, Ted.",1970,TV-PG,28,['comedy'],['US'],7,8.2,8692,9.29,7.75,['comedy'],1.0,1.0,7.975,0.4499999999999993,0.7743576575786824,0.5545224005796812,0.3016412653648906,14.7,78,422,0.9,5,25,0.35926556028425694,0.0382242426276207,comedy
The Brady Bunch,SHOW,"When widower Mike Brady marries a lovely lady widow Carol Ann, their two families become one. These are the misadventures of this new couple, their six children, a dog named Tiger, and quirky housekeeper Alice.",1969,TV-G,25,"['comedy', 'family']",['US'],5,6.7,14080,15.042,7.3,"['comedy', 'family']",2.0,1.0,7.0,-0.5999999999999996,0.8248943772317469,0.5545224005796812,0.675970265041949,11.0,41,210,0.5,3,15,0.063187375664711,0.006233472377061844,comedy
The Bob Newhart Show,SHOW,"The Bob Newhart Show is an American situation comedy produced by MTM Enterprises, which aired 142 original episodes on CBS from September 16, 1972, to April 1, 1978. Comedian Bob Newhart portrays a psychologist having to deal with his patients and fellow office workers. The show was filmed before a live audience.",1972,TV-PG,27,['comedy'],['US'],6,8.1,5793,14.2,7.93,['comedy'],1.0,1.0,8.015,0.16999999999999993,0.7743576575786824,0.5545224005796812,0.4533907468011283,11.1,59,314,0.6,4,20,0.03877841681241989,0.11943142674863338,comedy
Lost in Space,SHOW,"The space family Robinson is sent on a five-year mission to find a new planet to colonise. The voyage is sabotaged time and again by an inept stowaway, Dr. Zachary Smith. The family's spaceship, Jupiter II, also carries a friendly robot who endures an endless stream of abuse from Dr. Smith, but is a trusted companion of young Will Robinson",1965,TV-PG,50,"['comedy', 'family', 'fantasy', 'scifi']",['US'],3,5.7,8,30.079,7.39,"['comedy', 'scifi']",4.0,1.0,6.545,-1.6899999999999995,0.8137823152557799,0.5545224005796812,0.9999999967115676,8.2,67,341,-2.7,3,13,-0.4546356052160263,-0.163700170814991,comedy
The Odd Couple,SHOW,"The Odd Couple is a television situation comedy broadcast from September 24, 1970 to March 7, 1975 on ABC. It stars Tony Randall as Felix Unger and Jack Klugman as Oscar Madison, and was the first of several developed by Garry Marshall for Paramount Television. The show is based upon the play of the same name, which was written by Neil Simon.

Felix and Oscar are two divorced men. Felix is neat and tidy while Oscar is sloppy and casual. They share a Manhattan apartment, and their different lifestyles inevitably lead to conflicts and laughs.

In 1997, the episodes ""Password"" and ""The Fat Farm"" were ranked #5 and #58 on TV Guide's 100 Greatest Episodes of All Time. The show received three nominations for the Primetime Emmy Award for Outstanding Comedy Series. Its fourth season, from 1973–74, remains the most recent nominee for a show that aired during a Friday time slot.",1970,,27,['comedy'],['US'],5,7.9,6231,10.61,8.29,['comedy'],1.0,1.0,8.094999999999999,-0.3899999999999988,0.7743576575786824,0.5545224005796812,0.5541555485401769,9.6,176,885,-1.2,3,14,0.42003187630325556,-0.0032811686396598816,comedy
The Lorax,MOVIE,"The Once-ler, a ruined industrialist, tells the tale of his rise to wealth and subsequent fall, as he disregarded the warnings of a wise old forest creature called the Lorax about the environmental destruction caused by his greed.",1972,PG,25,"['animation', 'comedy', 'drama', 'family', 'fantasy']",['US'],,7.9,2932,8.834,7.4799999999999995,"['animation', 'comedy']",5.0,1.0,7.6899999999999995,0.4200000000000008,0.7524233093149008,0.5545224005796812,0.7460319334820779,21.5,42,230,-1.7,2,9,-0.7210454195737839,-0.024879857897758484,animation
